text,label
"Honestly, this movie broke down after just one use.",negative
"In my opinion, the restaurant is a standard option without anything unique.",neutral
"Overall, the class will probably be updated again next quarter.",neutral
"Honestly, this book is fine for occasional use.",neutral
The neighborhood is honestly one of the best i've come across.,positive
"Overall, the hotel room is honestly one of the best i've come across.",positive
The delivery impressed everyone in the room.,positive
"Frankly, the concert was neither great nor terrible.",neutral
"To be fair, this game was thoughtfully designed and easy to use.",positive
"Frankly, the neighborhood was smooth, fast, and reliable.",positive
The class made me really happy.,positive
"Honestly, the customer support was delayed with zero communication.",negative
The software update left me frustrated and annoyed.,negative
"Honestly, this app left a really bad taste, literally and figuratively.",negative
"Frankly, the website was absolutely fantastic.",positive
"Honestly, this app was okay, nothing special.",neutral
This recipe was honestly one of the worst i've experienced.,negative
"Frankly, the presentation was okay, nothing special.",neutral
"Frankly, the flight impressed everyone in the room.",positive
"Overall, the flight was smooth, fast, and reliable.",positive
"Overall, the neighborhood turned out better than i imagined.",positive
"Overall, the meeting is honestly one of the best i've come across.",positive
"To be fair, this course was well worth the money.",positive
"In my opinion, the phone was honestly one of the worst i've experienced.",negative
The tutorial was overpriced for what you actually get.,negative
"Overall, the meeting did not work as advertised at all.",negative
"Frankly, this movie was rude and unhelpful.",negative
"Frankly, the customer support was well worth the money.",positive
"Honestly, this album is honestly one of the best i've come across.",positive
"Frankly, the neighborhood was poorly organized and confusing.",negative
"Honestly, this app impressed everyone in the room.",positive
"Frankly, the restaurant was delayed with zero communication.",negative
The customer support turned out better than i imagined.,positive
"Honestly, the concert is a standard option without anything unique.",neutral
The product turned out better than i imagined.,positive
"To be fair, the hotel room was overpriced for what you actually get.",negative
"Honestly, the flight will probably be updated again next quarter.",neutral
"Frankly, the service met the basic requirements but nothing more.",neutral
"To be fair, this movie was buggy and kept crashing.",negative
"In my opinion, the event was absolutely fantastic.",positive
"In my opinion, the service was well worth the money.",positive
The presentation was a wonderful experience overall.,positive
"In my opinion, the service was delayed with zero communication.",negative
"In my opinion, the hotel room did the job, though it could be improved.",neutral
"In my opinion, the manager brought a smile to my face.",positive
"In my opinion, the software update was absolutely fantastic.",positive
"Frankly, this course did not work as advertised at all.",negative
"Overall, the class brought a smile to my face.",positive
"In my opinion, the new policy felt cheap and poorly made.",negative
"Honestly, the delivery was delayed with zero communication.",negative
"To be fair, the event is a standard option without anything unique.",neutral
The flight was a wonderful experience overall.,positive
"Overall, the concert covers the basics adequately.",neutral
"Overall, the presentation left a really bad taste, literally and figuratively.",negative
"To be fair, the restaurant turned out better than i imagined.",positive
"Frankly, the event was smooth, fast, and reliable.",positive
"Overall, the food turned out better than i imagined.",positive
"Frankly, the car was released on schedule as planned.",neutral
"Frankly, the restaurant was well worth the money.",positive
"In my opinion, the concert was a wonderful experience overall.",positive
"In my opinion, the flight worked perfectly and saved me a lot of time.",positive
"To be fair, the tutorial turned out better than i imagined.",positive
"To be fair, the tutorial was way below my expectations.",negative
"In my opinion, this book was well worth the money.",positive
This movie will probably be updated again next quarter.,neutral
"In my opinion, the delivery is honestly one of the best i've come across.",positive
"In my opinion, this recipe will probably be updated again next quarter.",neutral
"Frankly, the website was a complete disappointment.",negative
"Frankly, this recipe turned out better than i imagined.",positive
"Overall, the car was rude and unhelpful.",negative
"Honestly, the service did the job, though it could be improved.",neutral
"To be fair, this game was absolutely fantastic.",positive
"This course was smooth, fast, and reliable.",positive
"Overall, the phone left me frustrated and annoyed.",negative
"Honestly, the manager was neither great nor terrible.",neutral
"Honestly, the presentation was rude and unhelpful.",negative
"Overall, the presentation is similar to what competitors offer.",neutral
"Overall, the hotel room was a routine, unremarkable experience.",neutral
"Overall, the service was okay, nothing special.",neutral
"The manager deserves five stars, no question.",positive
"In my opinion, this laptop was released on schedule as planned.",neutral
"Frankly, the meeting was absolutely fantastic.",positive
"Frankly, the product was buggy and kept crashing.",negative
"Overall, the tutorial met the basic requirements but nothing more.",neutral
"Honestly, the hotel room was okay, nothing special.",neutral
"Overall, the customer support was a complete disappointment.",negative
"To be fair, this book left me feeling very satisfied.",positive
"Overall, the phone was way below my expectations.",negative
"Frankly, the presentation did not work as advertised at all.",negative
"Honestly, the class was acceptable given the price.",neutral
"To be fair, the website deserves five stars, no question.",positive
"Frankly, this laptop was handled with great care and professionalism.",positive
"To be fair, the meeting was smooth, fast, and reliable.",positive
"To be fair, the flight was poorly organized and confusing.",negative
The class was buggy and kept crashing.,negative
"Frankly, the website will probably be updated again next quarter.",neutral
"In my opinion, the product is fine for occasional use.",neutral
"The flight was about what i expected, no surprises.",neutral
The manager covers the basics adequately.,neutral
"Frankly, the flight was a complete disappointment.",negative
"Overall, the restaurant had some good points and some drawbacks.",neutral
"Honestly, this album was handled with great care and professionalism.",positive
"Overall, the neighborhood deserves five stars, no question.",positive
"The product did the job, though it could be improved.",neutral
"To be fair, the manager left me feeling very satisfied.",positive
"Honestly, the food brought a smile to my face.",positive
"Honestly, the product met the basic requirements but nothing more.",neutral
"In my opinion, the food was honestly one of the worst i've experienced.",negative
"Frankly, the new policy was a complete disappointment.",negative
"Honestly, the event was a total waste of time and money.",negative
"To be fair, the software update was thoughtfully designed and easy to use.",positive
"Frankly, the neighborhood made me really happy.",positive
"Honestly, the website turned out better than i imagined.",positive
"Frankly, the website felt cheap and poorly made.",negative
"To be fair, the software update was released on schedule as planned.",neutral
"Overall, this laptop was overpriced for what you actually get.",negative
"Honestly, the car impressed everyone in the room.",positive
"The delivery was smooth, fast, and reliable.",positive
"Honestly, the tutorial was delayed with zero communication.",negative
"Honestly, the team will probably be updated again next quarter.",neutral
"Honestly, the food did the job, though it could be improved.",neutral
"Overall, the software update met the basic requirements but nothing more.",neutral
The delivery left me feeling very satisfied.,positive
"Overall, the customer support was a routine, unremarkable experience.",neutral
"Overall, the manager was overpriced for what you actually get.",negative
This book broke down after just one use.,negative
"To be fair, the manager made me really happy.",positive
"Frankly, the car did not work as advertised at all.",negative
"Frankly, this book turned out better than i imagined.",positive
"Frankly, the phone was okay, nothing special.",neutral
"In my opinion, the neighborhood will probably be updated again next quarter.",neutral
"In my opinion, the manager had some good points and some drawbacks.",neutral
The presentation made me really happy.,positive
"Overall, the class was poorly organized and confusing.",negative
"Frankly, the car deserves five stars, no question.",positive
"Frankly, this movie is a standard option without anything unique.",neutral
"Overall, the customer support worked perfectly and saved me a lot of time.",positive
"To be fair, this course was neither great nor terrible.",neutral
The team is fine for occasional use.,neutral
"Honestly, this course was handled with great care and professionalism.",positive
"To be fair, this course turned out better than i imagined.",positive
This laptop felt cheap and poorly made.,negative
The tutorial is a standard option without anything unique.,neutral
"Honestly, the restaurant was neither great nor terrible.",neutral
"To be fair, the website was okay, nothing special.",neutral
"In my opinion, the software update was a wonderful experience overall.",positive
"Overall, the team worked perfectly and saved me a lot of time.",positive
"Frankly, the neighborhood felt cheap and poorly made.",negative
"In my opinion, the presentation was poorly organized and confusing.",negative
"Frankly, the team was smooth, fast, and reliable.",positive
This book was delayed with zero communication.,negative
"Honestly, the class was neither great nor terrible.",neutral
"Honestly, this laptop is honestly one of the best i've come across.",positive
"In my opinion, the customer support was way below my expectations.",negative
This app was a complete disappointment.,negative
"Honestly, the tutorial was well worth the money.",positive
"Overall, this laptop will probably be updated again next quarter.",neutral
"Honestly, the delivery was average compared to similar options.",neutral
"Frankly, the concert left me frustrated and annoyed.",negative
"Frankly, the software update made me really happy.",positive
"Overall, the restaurant left a really bad taste, literally and figuratively.",negative
"Honestly, the new policy turned out better than i imagined.",positive
"Honestly, the website was about what i expected, no surprises.",neutral
"Honestly, this game was released on schedule as planned.",neutral
"Honestly, the team felt cheap and poorly made.",negative
"To be fair, the meeting deserves five stars, no question.",positive
"Overall, this app was buggy and kept crashing.",negative
"The customer support was okay, nothing special.",neutral
"Frankly, the product had some good points and some drawbacks.",neutral
"Frankly, this laptop was a routine, unremarkable experience.",neutral
"Frankly, the presentation was acceptable given the price.",neutral
"Honestly, the food worked perfectly and saved me a lot of time.",positive
"In my opinion, the meeting worked perfectly and saved me a lot of time.",positive
"Honestly, the delivery was released on schedule as planned.",neutral
"Frankly, the tutorial made me really happy.",positive
The food will probably be updated again next quarter.,neutral
"Overall, the car did the job, though it could be improved.",neutral
"Honestly, the event was buggy and kept crashing.",negative
"In my opinion, the website broke down after just one use.",negative
This movie exceeded all my expectations.,positive
"To be fair, the food was absolutely fantastic.",positive
"Frankly, this book made the whole experience miserable.",negative
"Honestly, the phone was thoughtfully designed and easy to use.",positive
The service left me frustrated and annoyed.,negative
"To be fair, the tutorial was absolutely fantastic.",positive
This book was acceptable given the price.,neutral
"Honestly, this laptop was poorly organized and confusing.",negative
"In my opinion, the flight is honestly one of the best i've come across.",positive
"Honestly, the presentation was overpriced for what you actually get.",negative
"Overall, this recipe was poorly organized and confusing.",negative
"Overall, the restaurant was acceptable given the price.",neutral
"Overall, this game left me feeling very satisfied.",positive
"Overall, the presentation was absolutely fantastic.",positive
"Overall, the delivery met the basic requirements but nothing more.",neutral
"To be fair, the flight is a standard option without anything unique.",neutral
"Honestly, the product broke down after just one use.",negative
"Honestly, this album was a routine, unremarkable experience.",neutral
"Frankly, the new policy was a routine, unremarkable experience.",neutral
"Honestly, the manager made the whole experience miserable.",negative
"Overall, this recipe is honestly one of the best i've come across.",positive
"To be fair, this course was a routine, unremarkable experience.",neutral
"In my opinion, the event will probably be updated again next quarter.",neutral
"In my opinion, the presentation was a complete disappointment.",negative
"To be fair, the event was okay, nothing special.",neutral
"Frankly, this movie is similar to what competitors offer.",neutral
This app brought a smile to my face.,positive
"To be fair, the software update was rude and unhelpful.",negative
"In my opinion, the presentation felt cheap and poorly made.",negative
"Frankly, the hotel room was rude and unhelpful.",negative
"Honestly, the flight was absolutely fantastic.",positive
"Frankly, the website was a wonderful experience overall.",positive
The product was absolutely fantastic.,positive
"The class left a really bad taste, literally and figuratively.",negative
"Overall, the customer support was honestly one of the worst i've experienced.",negative
"In my opinion, the class is a standard option without anything unique.",neutral
"Frankly, the hotel room was way below my expectations.",negative
"In my opinion, the phone worked perfectly and saved me a lot of time.",positive
"This course was about what i expected, no surprises.",neutral
"Overall, this laptop did not work as advertised at all.",negative
"To be fair, this album was neither great nor terrible.",neutral
"Frankly, the concert impressed everyone in the room.",positive
"Honestly, the meeting was okay, nothing special.",neutral
This course left me frustrated and annoyed.,negative
"Overall, the car is honestly one of the best i've come across.",positive
"In my opinion, this movie was poorly organized and confusing.",negative
"Honestly, the delivery was a total waste of time and money.",negative
"Frankly, this laptop was smooth, fast, and reliable.",positive
"In my opinion, this laptop was delayed with zero communication.",negative
"Frankly, the software update was delayed with zero communication.",negative
"Frankly, this album is fine for occasional use.",neutral
"To be fair, this movie worked perfectly and saved me a lot of time.",positive
"Overall, this album will probably be updated again next quarter.",neutral
The customer support was acceptable given the price.,neutral
"Overall, the manager exceeded all my expectations.",positive
"Overall, the customer support made the whole experience miserable.",negative
"Honestly, the service felt cheap and poorly made.",negative
"In my opinion, the new policy will probably be updated again next quarter.",neutral
"In my opinion, the team was buggy and kept crashing.",negative
"In my opinion, the neighborhood was absolutely fantastic.",positive
The concert was rude and unhelpful.,negative
"Frankly, the new policy left a really bad taste, literally and figuratively.",negative
"In my opinion, this app was released on schedule as planned.",neutral
"Frankly, the tutorial was a complete disappointment.",negative
"Honestly, the product was poorly organized and confusing.",negative
"To be fair, this movie was neither great nor terrible.",neutral
"To be fair, this recipe had some good points and some drawbacks.",neutral
This laptop exceeded all my expectations.,positive
"To be fair, the team covers the basics adequately.",neutral
The manager was way below my expectations.,negative
"In my opinion, the meeting left a really bad taste, literally and figuratively.",negative
"Frankly, the car was way below my expectations.",negative
"Frankly, the car felt cheap and poorly made.",negative
"To be fair, the product is a standard option without anything unique.",neutral
"Overall, the car is a standard option without anything unique.",neutral
"In my opinion, the tutorial left me frustrated and annoyed.",negative
This book was honestly one of the worst i've experienced.,negative
"To be fair, the car made me really happy.",positive
"To be fair, the event was average compared to similar options.",neutral
"Frankly, this book brought a smile to my face.",positive
"Frankly, the neighborhood was honestly one of the worst i've experienced.",negative
"To be fair, the hotel room was a wonderful experience overall.",positive
"Frankly, the flight felt cheap and poorly made.",negative
The new policy was overpriced for what you actually get.,negative
"Overall, the new policy did the job, though it could be improved.",neutral
"To be fair, the tutorial was a total waste of time and money.",negative
"Frankly, the flight was way below my expectations.",negative
"Overall, this album was well worth the money.",positive
"The tutorial was a routine, unremarkable experience.",neutral
"Overall, this movie deserves five stars, no question.",positive
"Overall, this recipe was a routine, unremarkable experience.",neutral
"Frankly, the product was overpriced for what you actually get.",negative
"Honestly, the class was a complete disappointment.",negative
"To be fair, this game was honestly one of the worst i've experienced.",negative
The event broke down after just one use.,negative
"To be fair, this recipe brought a smile to my face.",positive
"The class was smooth, fast, and reliable.",positive
"Honestly, the meeting is a standard option without anything unique.",neutral
"To be fair, this course was okay, nothing special.",neutral
This game is a standard option without anything unique.,neutral
"The customer support deserves five stars, no question.",positive
"To be fair, the food left a really bad taste, literally and figuratively.",negative
"To be fair, this movie was released on schedule as planned.",neutral
"Overall, the team is similar to what competitors offer.",neutral
"Frankly, the service had some good points and some drawbacks.",neutral
"To be fair, this course is fine for occasional use.",neutral
"In my opinion, the team impressed everyone in the room.",positive
"Honestly, the class was about what i expected, no surprises.",neutral
"Overall, this game was a routine, unremarkable experience.",neutral
"Overall, the flight broke down after just one use.",negative
"To be fair, the delivery is similar to what competitors offer.",neutral
This laptop was buggy and kept crashing.,negative
"Frankly, this game exceeded all my expectations.",positive
"To be fair, the hotel room met the basic requirements but nothing more.",neutral
The food left me feeling very satisfied.,positive
"Frankly, this game is fine for occasional use.",neutral
This app was delayed with zero communication.,negative
"In my opinion, the meeting was acceptable given the price.",neutral
"Honestly, the software update felt cheap and poorly made.",negative
"In my opinion, the concert exceeded all my expectations.",positive
"Overall, this course was poorly organized and confusing.",negative
"In my opinion, the flight met the basic requirements but nothing more.",neutral
"The neighborhood did the job, though it could be improved.",neutral
"In my opinion, the website left me frustrated and annoyed.",negative
"Frankly, the event was a complete disappointment.",negative
"Frankly, the concert will probably be updated again next quarter.",neutral
"To be fair, the new policy was neither great nor terrible.",neutral
"Frankly, the flight left me frustrated and annoyed.",negative
The tutorial was honestly one of the worst i've experienced.,negative
"In my opinion, the meeting was a complete disappointment.",negative
"In my opinion, the manager was acceptable given the price.",neutral
The hotel room was poorly organized and confusing.,negative
"To be fair, the concert left me feeling very satisfied.",positive
"In my opinion, the hotel room was handled with great care and professionalism.",positive
"Honestly, the website is similar to what competitors offer.",neutral
"Honestly, the customer support was rude and unhelpful.",negative
The phone was released on schedule as planned.,neutral
"Overall, the delivery was a wonderful experience overall.",positive
"Honestly, the hotel room was a total waste of time and money.",negative
The team left me frustrated and annoyed.,negative
"To be fair, the restaurant did not work as advertised at all.",negative
"To be fair, the flight turned out better than i imagined.",positive
"To be fair, the car was absolutely fantastic.",positive
"Honestly, this album is a standard option without anything unique.",neutral
"Honestly, this game was a complete disappointment.",negative
"To be fair, the team was a total waste of time and money.",negative
"Overall, the food was average compared to similar options.",neutral
"To be fair, the website was neither great nor terrible.",neutral
"Overall, the restaurant was average compared to similar options.",neutral
"Honestly, this app is honestly one of the best i've come across.",positive
"To be fair, the food met the basic requirements but nothing more.",neutral
"In my opinion, the food was way below my expectations.",negative
"Frankly, the new policy brought a smile to my face.",positive
The phone was buggy and kept crashing.,negative
"The meeting did the job, though it could be improved.",neutral
"Honestly, the meeting covers the basics adequately.",neutral
"In my opinion, this book left a really bad taste, literally and figuratively.",negative
"Honestly, the restaurant made me really happy.",positive
"To be fair, the website was handled with great care and professionalism.",positive
"To be fair, the new policy made me really happy.",positive
"Frankly, the new policy was a wonderful experience overall.",positive
"In my opinion, the concert was well worth the money.",positive
"Honestly, the manager was delayed with zero communication.",negative
"Honestly, this album was a complete disappointment.",negative
"Overall, the car left me feeling very satisfied.",positive
"In my opinion, this recipe was acceptable given the price.",neutral
"To be fair, this movie was average compared to similar options.",neutral
The food felt cheap and poorly made.,negative
"Overall, the car exceeded all my expectations.",positive
"In my opinion, the hotel room left me feeling very satisfied.",positive
This app left me frustrated and annoyed.,negative
"To be fair, this course made me really happy.",positive
The manager was poorly organized and confusing.,negative
This book was average compared to similar options.,neutral
"Honestly, this app is a standard option without anything unique.",neutral
"Overall, the neighborhood was okay, nothing special.",neutral
"In my opinion, the presentation was honestly one of the worst i've experienced.",negative
"To be fair, the presentation deserves five stars, no question.",positive
The product was a total waste of time and money.,negative
"The class deserves five stars, no question.",positive
"Frankly, this course made the whole experience miserable.",negative
"Frankly, the software update was honestly one of the worst i've experienced.",negative
"Frankly, the meeting was handled with great care and professionalism.",positive
"Overall, the website left me feeling very satisfied.",positive
"Honestly, the service is honestly one of the best i've come across.",positive
"Overall, this course will probably be updated again next quarter.",neutral
"Frankly, the restaurant was buggy and kept crashing.",negative
"Frankly, this game covers the basics adequately.",neutral
"Overall, the restaurant will probably be updated again next quarter.",neutral
The restaurant brought a smile to my face.,positive
"Overall, this recipe was a complete disappointment.",negative
"In my opinion, this album was buggy and kept crashing.",negative
"Overall, this game is similar to what competitors offer.",neutral
"Honestly, this recipe worked perfectly and saved me a lot of time.",positive
"Overall, the flight made the whole experience miserable.",negative
"Overall, this album left a really bad taste, literally and figuratively.",negative
"To be fair, the new policy was way below my expectations.",negative
This game was way below my expectations.,negative
The class was released on schedule as planned.,neutral
"Honestly, the phone was delayed with zero communication.",negative
"In my opinion, the service is similar to what competitors offer.",neutral
"Honestly, the flight covers the basics adequately.",neutral
"Frankly, the restaurant worked perfectly and saved me a lot of time.",positive
"Frankly, the restaurant was released on schedule as planned.",neutral
"Honestly, the tutorial impressed everyone in the room.",positive
"To be fair, the website did not work as advertised at all.",negative
"Overall, this book was a routine, unremarkable experience.",neutral
"Honestly, the food deserves five stars, no question.",positive
"To be fair, the restaurant was a wonderful experience overall.",positive
"Overall, the phone brought a smile to my face.",positive
"Honestly, this movie was acceptable given the price.",neutral
"To be fair, the tutorial had some good points and some drawbacks.",neutral
"In my opinion, the food was a total waste of time and money.",negative
"Overall, the event was thoughtfully designed and easy to use.",positive
"In my opinion, this recipe is a standard option without anything unique.",neutral
"In my opinion, this recipe was well worth the money.",positive
"Frankly, this album did the job, though it could be improved.",neutral
"Overall, the presentation is honestly one of the best i've come across.",positive
"Honestly, the flight did the job, though it could be improved.",neutral
"Frankly, the neighborhood was about what i expected, no surprises.",neutral
"To be fair, the concert met the basic requirements but nothing more.",neutral
"Honestly, the service left me feeling very satisfied.",positive
"Frankly, this book was way below my expectations.",negative
"Honestly, the car was overpriced for what you actually get.",negative
This book was overpriced for what you actually get.,negative
"In my opinion, this laptop was about what i expected, no surprises.",neutral
"To be fair, the website was buggy and kept crashing.",negative
"The neighborhood left a really bad taste, literally and figuratively.",negative
"Frankly, this album was rude and unhelpful.",negative
"To be fair, the phone was overpriced for what you actually get.",negative
"Honestly, the presentation was well worth the money.",positive
"In my opinion, this book met the basic requirements but nothing more.",neutral
"Frankly, the manager was honestly one of the worst i've experienced.",negative
The event brought a smile to my face.,positive
"In my opinion, the flight was neither great nor terrible.",neutral
"Honestly, the customer support was poorly organized and confusing.",negative
"Honestly, the flight was rude and unhelpful.",negative
"To be fair, the flight was well worth the money.",positive
"Frankly, the food was overpriced for what you actually get.",negative
"Honestly, the phone is a standard option without anything unique.",neutral
"Overall, this course was released on schedule as planned.",neutral
"Frankly, the class exceeded all my expectations.",positive
"Honestly, the software update will probably be updated again next quarter.",neutral
"Honestly, this album was overpriced for what you actually get.",negative
"To be fair, the presentation had some good points and some drawbacks.",neutral
"Overall, this album was poorly organized and confusing.",negative
"To be fair, the product was released on schedule as planned.",neutral
"In my opinion, the food covers the basics adequately.",neutral
"In my opinion, this laptop met the basic requirements but nothing more.",neutral
"To be fair, this course was rude and unhelpful.",negative
"Overall, this album exceeded all my expectations.",positive
"Overall, the team brought a smile to my face.",positive
This book was neither great nor terrible.,neutral
"In my opinion, this game made me really happy.",positive
"In my opinion, the new policy broke down after just one use.",negative
"Honestly, the tutorial did not work as advertised at all.",negative
"In my opinion, the delivery brought a smile to my face.",positive
This recipe made me really happy.,positive
"In my opinion, the car brought a smile to my face.",positive
"To be fair, this album was delayed with zero communication.",negative
"In my opinion, this recipe made the whole experience miserable.",negative
"Honestly, the phone was average compared to similar options.",neutral
"Frankly, this book was handled with great care and professionalism.",positive
"In my opinion, this app was well worth the money.",positive
"Frankly, this laptop had some good points and some drawbacks.",neutral
"Frankly, the phone exceeded all my expectations.",positive
The new policy was poorly organized and confusing.,negative
"Honestly, the delivery was thoughtfully designed and easy to use.",positive
"Honestly, the product is similar to what competitors offer.",neutral
"Overall, the team was neither great nor terrible.",neutral
"To be fair, this album was acceptable given the price.",neutral
"Frankly, this recipe was neither great nor terrible.",neutral
"To be fair, the phone deserves five stars, no question.",positive
